Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,D10,C10,D1,A10,A10,C15,B10,D15,A14,D10,D10,D10,B10,D1,D10,A1,B10,A1,D10,D10,A1,D15,B10,D1,A10,B13,D10,D12,A14,D10,D10,A1,D10,D12,D10,B10,D1,C10,D10,D10,D10,D10,C10,D10,D10,A1,B15,B12,D10,A1,D1,D10,A10,A1,D12,A1,D15,A1,C10,D15,D10,D1,A1,A1,D10,B12,A10,A1,C10,D15,D10,A1,B12,A1,B15,D10,D10,A1,D10,D15,D10,C10,B12,D10,D15,D10,D10,B13,D10,C10,D15,A1,B10,D10,A10,D10,A10,D15,A1,A10
WHALE,P30,M15,M15,N1,P30,P30,P30,M15,P30,P30,L15,P30,P30,M15,M25,M15,P30,N1,M15,M25,P30,M15,M25,M15,L15,P30,O24,O10,P30,N25,P30,P30,O25,O1,P30,P30,M15,P30,O1,M15,O26,N28,N20,M15,O25,P30,M15,O25,P30,L15,P30,P30,P30,P30,M15,P30,O1,P30,M25,P30,P30,P30,M15,M15,M15,M15,N20,P30,P30,P30,P30,P30,P30,P30,O1,P30,M20,P30,L20,O25,L25,O24,M15,P30,O1,P30,L15,P30,P30,P30,P30,P30,M20,O15,M15,P30,M25,N20,P30,M25
GRIZZLY,P30,P30,P1,P30,P30,P30,P30,P30,P30,P30,P1,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,M1,P30,M15,P30,P30,P1,P30,P1,P30,P30,P1,P30,M1,M15,P30,P30,M20,P30,P30,P30,P30,P1,M15,P30,P1,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P1,P30,P30,P30,P1,P30,P30,P30,P30,P30,P30,P1,M15,P1,P30,P1,P30,P30,P1,P1,P30,P30,M15,P30,P30,P30,P30,P1,P30,P1,P1,M2,P1,P30,P30
FLAMINGO,G15,A18,A18,C18,E15,A18,B19,A1,G15,C17,C19,A18,A1,F18,B18,A19,B19,A15,A18,C19,B18,F17,C15,A18,F17,F15,E18,B18,F17,A15,G15,A19,C18,A1,B19,C18,A18,B19,E18,E16,B18,C19,A1,E15,A19,E15,F19,G15,A18,A1,C15,A19,A18,G15,B18,F16,F16,C17,A18,F15,F16,B18,E16,B19,G17,A15,A15,A18,G15,A15,B18,G15,E15,F15,G15,E17,A15,C18,A18,F16,G15,A19,C19,G15,C18,E17,B19,A15,F16,C19,A18,C18,A15,A18,C15,E16,A18,C18,A18,A15
FOX,G1,A1,D15,G15,E12,F10,F14,D12,G12,G15,A1,D15,F1,D10,H1,D14,D15,F10,E14,H10,F14,G15,G15,G15,E10,H13,H15,D15,D15,A1,H13,G1,D14,F1,H14,F15,F10,G14,G15,D1,H15,G15,D14,D1,D15,A1,A1,F1,D10,A1,E10,G10,D1,H14,A1,G10,E1,D15,A15,G10,G12,G15,G15,G14,G15,F15,G12,H14,G10,G10,H14,F15,E15,G10,H18,H14,G10,H15,A1,H14,G15,G1,G13,G15,G12,D15,D15,F14,F15,D14,F15,F10,F10,E10,H15,D14,F1,H1,D10,H10
CRICKET,H15,P30,H15,H15,M15,P30,L15,P30,P1,K15,K15,L25,H15,L15,H15,P1,M15,L15,P30,G15,P1,G1,L15,P30,H15,L15,H10,P30,M15,H15,P30,G1,H15,K1,P30,P30,K15,M15,P30,I15,M15,P30,L25,M15,M15,L15,O25,M15,H15,O20,H15,M15,G1,H15,M15,M15,H10,M15,O1,H15,I25,P30,G1,H15,I15,P30,G15,P15,M15,G1,K15,G1,P1,G15,G15,P30,M15,M15,P30,M15,P1,I1,G15,P1,M15,O10,M25,M15,M20,J15,P30,L15,M15,P1,I15,P30,H1,L15,M15,P30
CANARY,J5,G1,J5,J5,J5,E5,J5,J5,E5,J5,I1,J1,G1,J5,J5,G1,J10,J1,G5,G1,J10,I1,G1,J1,J10,I1,G5,E1,I1,I10,J10,G1,G10,G1,J5,J1,G1,I1,E1,G1,J10,G1,G10,E1,J1,E5,I1,I10,J15,G5,J1,J5,J1,E5,E1,G1,J5,G1,G1,I1,G5,J5,G1,J1,J5,G1,J5,G1,J1,G1,G1,J5,J5,I1,J5,I1,G1,J5,G5,J15,J1,J5,J5,J5,J5,J10,G1,J1,J1,J15,G1,J5,I1,G1,G1,I1,I10,J1,J10,J15
PIG,A1,A1,C15,A1,A1,B19,D1,C15,E10,B15,A1,A1,D1,A1,A1,A1,A1,E15,A1,A1,A1,A1,E10,C15,B18,E1,A1,C1,A1,A1,A1,A1,A1,C10,E10,B2,C15,A1,A1,E1,A1,A1,A1,E1,A1,E10,A1,A1,A1,B1,A1,D15,D15,A1,E1,B17,D1,A1,A1,E1,A1,A1,C15,D1,A1,D1,A1,C14,B20,A1,A1,A1,E16,A1,A1,C16,A1,A1,A1,A1,D15,A1,D1,A1,A1,A1,D14,B15,A1,A1,A1,A1,B15,A1,C14,A1,A1,B1,A1,A1
TIGER,G14,M15,M15,H15,K15,E1,P1,H1,K15,K15,M25,M1,M15,M15,H15,G10,G15,G15,G15,G14,M25,H10,G15,M20,H15,P1,M15,L15,G1,L15,H15,E5,K10,M15,G15,L15,H1,G1,M15,M15,L2,E5,M25,K15,M15,M15,H15,G15,M20,K1,F10,K15,E1,H1,K10,P1,M15,K1,K15,E1,E1,H15,M1,E10,G15,P30,K10,P30,L15,G1,M15,M15,F1,M1,M15,H1,M25,M15,K10,K15,F10,K15,H15,L15,M10,E15,K15,M15,K15,E15,L20,M25,G1,M25,P30,F1,H16,F12,K15,E10
LADYBUG,E1,H16,G16,H15,F16,H15,A1,A1,C1,G15,D10,D1,G16,A1,E15,H15,A15,G17,G15,D15,H15,A15,H15,A15,A1,A1,H15,C14,A1,C14,A1,D15,H15,A15,H15,H15,H15,C18,G15,C1,A15,D14,A1,F15,A1,A15,E15,E16,G14,A15,G16,F1,G15,H15,D1,F10,A1,F1,A15,A15,E14,H15,C1,G15,A1,H15,E1,A15,F18,F1,A1,G1,F1,F14,D1,G18,G15,E15,A1,A15,A1,E15,D10,C15,A1,F14,E10,G16,D1,A1,G15,C15,G15,H15,H15,A15,D16,F15,E1,A1
FROG,N20,P30,M15,L15,M15,M15,L15,P30,M15,M15,L15,M15,L15,L20,P30,N15,M15,M15,M15,M20,P30,N25,M20,M15,L15,M15,N20,M25,P30,N20,P30,M15,M15,P30,N15,P1,L25,N15,L15,P30,M25,M15,L25,M15,M15,L15,L25,L15,M15,M15,M15,P30,M20,P30,L15,N15,P1,M15,P30,M15,M15,M15,P1,M15,M15,M15,M15,L15,M15,M15,M15,M15,N15,N25,P30,M15,M15,L15,N15,M20,P1,M15,P15,M25,N15,M15,M15,N15,N25,M25,L15,N20,N15,N25,N15,M15,M20,M15,N15,M15
AXOLOTL,H18,P15,M15,H15,P30,P30,H15,L15,O26,M15,H15,I15,H15,M15,L15,G15,I15,G15,H15,E1,P30,P30,H15,O25,M15,H15,P1,H15,M15,P30,H15,G15,G15,H15,A1,H15,O15,E1,E15,P30,E10,G15,E10,H15,H15,A1,A1,M15,M15,M15,P30,O15,I15,I15,G15,M15,I15,M15,H15,G15,M15,H15,P30,H15,G15,G15,P30,E16,P1,O26,M15,H15,P1,O25,G15,A1,H15,I15,L15,E15,I15,L15,P30,I15,H15,H15,H15,H15,H15,G15,A1,H15,A1,E1,A1,H16,G15,H15,H15,P1
TOAD,M15,K15,M15,L15,N20,P30,K15,M15,M15,O20,M15,L15,P1,P1,M15,M15,M15,O2,L15,M15,M15,L15,O1,M15,M15,N25,P15,P30,K10,M15,M15,O1,M15,L15,N20,M15,L15,K15,L15,O15,M15,L20,M15,P1,M15,M15,L25,L15,P15,P1,P1,L15,O1,N15,M15,N15,M15,K1,L15,L25,O10,L15,L15,O25,K15,L15,O15,M15,M15,P30,M15,M10,L15,P1,M15,O15,M15,O15,M15,K16,N20,P30,L15,P30,O15,K15,P30,M15,M15,O24,M15,M15,M15,M1,N15,K15,M15,O15,M15,N15
LEMON,J5,J5,K5,K1,K5,J1,K1,K1,J5,K5,J5,K1,J1,J5,J5,K1,J5,J5,K1,J5,J5,J5,G5,J5,J1,I1,J5,G5,I5,J1,J1,J10,J5,J1,J5,K5,G5,G1,J1,J10,J10,K1,J5,K1,I5,G1,J1,G5,J5,J5,J1,J5,J5,J5,I5,J1,J5,K1,G1,G1,K1,K1,J5,J5,G3,K1,K5,I1,J10,J5,J5,K5,J5,K5,I5,J5,G1,J5,K5,J5,J1,J5,J10,J1,K1,K1,I1,J5,J5,J5,J1,K1,K1,J5,J5,K1,J5,G1,I1,G5
LIME,L1,K1,M15,K1,M10,M1,K1,M1,M15,M1,L15,L15,M1,M10,M1,M15,M1,M15,M10,L15,K1,L1,L15,M15,M1,M1,M1,M15,M15,M10,K1,M1,L15,M1,M1,L1,L1,L15,K1,M15,M10,M1,M15,M10,M1,M15,M10,M1,M1,M1,M15,K15,M15,M15,K15,M1,L15,L15,M1,M15,L1,M1,M1,M1,L15,M15,M15,M15,K1,M15,K1,M15,M15,M10,M1,M10,K1,M10,M15,M15,M10,M1,M1,M15,M1,M15,M15,K1,M10,L15,M15,L15,K1,M1,M1,M10,L1,K15,M1,L15
KIWI,L15,M15,M15,M15,P1,M20,M1,M15,P30,O25,M15,P1,M25,O18,P30,L15,P1,M10,M2,P30,M10,P1,P30,P30,L25,M15,M15,M15,P30,J15,L15,O15,M15,K15,M15,O20,M15,N15,K1,P30,J15,K1,M15,M25,P30,P30,L20,K1,P30,K1,L20,L25,N15,P1,N1,L15,J15,N20,P30,O15,K1,O20,M20,M15,P30,M15,P30,M15,K1,N15,P1,L15,P30,P30,L20,L25,O25,M15,L15,M15,P30,M15,M1,N1,M25,M15,P1,P30,L25,K15,L15,M2,P30,L15,P30,M15,O18,L15,P1,M15
PUMPKIN,D1,D5,D1,D5,D10,D10,D10,D5,D5,D10,D10,E1,D10,D5,D10,D10,D5,D10,D5,D10,D1,D5,D5,D1,D10,D5,D10,D5,D5,D10,E1,D10,D1,D5,D1,E1,D5,E6,D10,D5,D5,D5,D10,D1,D1,E5,D10,D10,D1,D1,D5,E6,E1,D10,D10,D1,D10,D10,D5,D5,D1,D10,D1,D10,D10,E1,D10,D1,D10,D10,E5,D1,D10,D1,D10,E10,E10,D10,E5,D10,D1,D10,D5,E10,D1,E5,D10,D5,D10,D10,D10,D5,D10,D10,D5,D10,D10,D10,D10,D10
ZUCCHINI,M15,P30,M15,P30,M1,P30,M15,M20,P30,P30,M15,P30,P30,P30,P30,N15,P30,P30,M15,P30,P30,M15,P30,M25,P30,N25,P30,P30,P30,N20,M15,P30,P30,P30,N20,P30,P30,N25,P30,P30,M25,P30,P30,M25,P30,P30,P30,P30,P30,P30,P30,N20,N1,N20,P30,M15,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,N1,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,M25,M20,M15,P30,P30,P30,P30,P30,M20,P30,M20,M25,P30,P30,P30,P30,P30,M25,P30,M15,P30
