Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,J9,D12,G8,G6,K16,G8,F8,G9,E13,D10,F5,G10,D5,H22,C21,C13,I11,E9,C7,G7,F1,F5,G11,B5,G14,C8,G8,C6,G9,D5,C9,E9,D7,G10,G7,G9,E6,C8,B7,E8,D6,D7,G13,F7,G10,C13,E9,G8,C15,A5,C20,I11,M15,B7,G13,C16,A2,D9,G13,D8,G15,F7,B8,C11,O19,E8,D8,F10,I17,D5,F9,F9,E21,F7,E8,F4,H14,D8,D9,A4,E11,E11,B15,D9,H13,F6,E9,C12,F5,F5,E13,H13,D8,D5,F5,G8,D5,C17,B6,F10
WHALE,P1,M8,F8,M23,N18,H8,K23,N19,G22,N22,J19,M13,C23,M9,O18,K10,N17,H23,N22,J15,L15,K12,K13,N19,K24,M20,K19,M25,N9,C20,G5,M6,H3,K12,N24,J11,M22,K13,P30,O7,K24,P19,K8,O5,J14,J22,I16,I16,M19,F22,J19,N21,P3,P24,M13,E16,I19,G6,M20,O12,C23,L7,J21,P3,M2,M12,O7,P1,G5,H21,O9,K7,P3,G4,L9,D15,N6,I19,P17,L27,J19,M12,M26,C26,P17,G17,F7,C25,O9,P9,M19,C20,M20,N21,M23,O7,M17,J16,J24,G8
GRIZZLY,G17,H13,G20,P24,D7,P2,J13,G17,O21,J19,K2,C7,M22,E17,H8,C22,H9,G11,D22,H30,M18,P3,F25,C27,J27,G6,P2,A10,O20,D12,L10,D25,I17,A5,J12,K9,M25,I17,H11,H21,A9,D23,I9,D24,C21,A20,I24,A10,G16,P8,O18,J22,I18,O19,G11,O17,D24,P1,I15,L5,C20,P6,F5,D19,D7,G7,G9,O24,E27,N5,G11,C14,P8,O7,G15,C20,F1,P3,H24,G19,P3,C13,N27,F14,L10,G9,M27,G9,J19,G8,P5,O24,B20,E24,G12,E28,F18,A8,G7,D22
FLAMINGO,G9,H9,J15,L9,K19,L10,H9,K19,L3,L17,L15,H7,J13,J9,M6,L11,H15,N8,M8,G15,K21,G11,P8,M5,N5,L5,L9,K22,K15,J6,J15,G8,G8,H7,G5,K14,H9,L9,I13,I15,P3,G9,G9,K3,M7,G10,K16,G8,G9,M13,N15,K12,M9,J19,J11,G8,H11,G9,G10,H12,G9,G7,L10,G9,L9,K9,K16,G10,N15,G9,G15,G7,L9,P2,J12,G11,G16,G5,J22,O5,J25,G9,L7,I19,K9,I8,J11,G8,M13,K17,P6,G9,J16,J15,G8,M5,J11,M9,L9,J12
FOX,F9,O9,F9,F10,G7,H9,G6,P3,P3,F9,G7,O19,P3,G7,F5,G5,F9,G6,H5,O6,H9,P3,F7,F10,P8,O6,G5,C15,P20,J11,G5,M7,G8,F10,E9,F9,F9,G13,D10,P3,G6,O8,H9,H7,G6,E16,G7,G10,G7,K13,G9,G15,F9,O8,K12,G12,P6,G12,F12,L7,E10,G6,G6,G13,G8,G8,K14,N7,G14,O8,G11,H12,J14,H10,P6,G5,A3,P3,H9,K17,G7,G5,P3,F10,F7,B10,G5,G10,H11,F8,P13,G5,H12,J15,F9,H10,A7,F7,C5,J8
CRICKET,G7,B4,D19,P30,E11,A8,P3,K17,G8,D24,D14,M5,C19,A5,G12,A8,H9,J19,H11,K14,O19,C19,M10,C16,A6,M9,M15,A7,O13,G12,O17,B14,J10,C19,E14,H15,C9,G10,K14,P3,P7,G14,C13,E13,D10,E9,G19,I13,I11,J19,P3,A7,A7,K18,F7,B7,K13,P3,J15,H26,D10,D21,P4,O7,D22,P3,P5,A6,F7,G5,H21,N17,J9,P1,G16,P8,H18,G17,H7,J19,C19,J17,C22,G5,C13,G14,P3,C20,G9,P3,P3,D5,H10,P3,A20,A12,H21,B3,G7,H7
CANARY,A7,H9,C6,G11,A6,L7,C5,H10,A9,H7,A3,A3,G12,E4,D3,A3,J5,C2,A7,J14,G6,K10,E6,H7,C7,D8,P3,A7,G7,A3,G5,B5,D11,G4,N23,A7,E7,A5,G8,H3,A7,C3,D6,H9,C10,A5,A7,D17,H8,G9,O5,A3,A7,K7,J14,A2,G10,A2,A5,C14,A5,G4,G6,L4,C9,A9,C6,A13,O11,A9,J4,H5,G5,H6,A7,H8,H8,K16,E5,D3,A7,E4,C9,H10,K5,E6,H5,L3,H5,A5,A3,A3,H9,I4,L6,E5,A7,L4,F7,A7
PIG,P9,J3,P19,L9,H20,H11,P3,P3,N20,M8,C21,M20,D13,F12,M24,P9,K7,O7,F8,O4,O3,O5,N9,P2,H24,O16,M24,N21,P3,O5,N22,M7,M19,O23,K18,P30,I8,N27,J19,K19,N19,B10,P3,E27,P3,C24,B3,N5,K20,H20,C18,E25,P9,J14,I8,H12,C26,K8,G12,L2,P3,F9,K9,G23,C25,N20,M16,J19,P3,E24,B19,O6,O20,K5,H9,O5,I17,H9,N21,H17,M26,P6,H9,N23,M9,L5,G19,G17,M1,F18,C27,N9,O9,A30,B18,E22,G9,N8,G12,C24
TIGER,J5,J30,J21,I9,K8,H3,J10,P5,J20,P3,H7,J13,J5,P9,K9,J3,G10,L7,J11,B5,G5,C20,N19,A9,J19,J12,H11,P3,P3,J10,H12,G5,P6,G7,K20,H6,P3,M5,J11,J11,J18,J10,J9,K12,K9,G5,J10,J17,H10,J16,P3,B3,O13,P7,I6,J15,G12,J13,P6,H8,J10,I11,L11,H5,H8,P3,P3,P2,I9,P27,J14,L6,J7,F6,J14,G10,G5,H7,E7,I8,H3,H6,J13,F9,P30,J11,K16,O5,I6,I8,P3,N17,C20,H13,L2,P3,G6,H9,L7,I10
LADYBUG,L6,K3,K9,K10,K11,L8,K5,K4,L7,K10,L9,K12,L10,K9,K10,L7,L9,L11,K4,K8,L10,K7,K5,K7,K5,K13,L7,L9,L13,K7,K9,L5,L9,L6,L8,K5,K10,K9,L9,L7,K8,K10,L7,K10,J13,L6,L6,K7,K8,K17,L6,K7,K7,L7,K17,L10,L3,L9,K15,L11,L11,L4,L6,K9,L5,K4,K6,K7,K5,K3,L7,L15,K20,L9,K8,L7,L8,L9,L9,L6,L7,K6,K12,K15,K7,L5,L9,L7,L6,L8,K14,L6,L10,L7,K14,K9,L5,L5,K9,K13
FROG,F9,F9,F7,F9,G7,F7,F7,F7,F9,F9,G10,F9,F9,F7,F7,F9,F7,G9,F9,F7,F7,F8,F7,G9,G7,B9,F7,G9,F17,F8,F6,F7,F9,G7,G9,F7,F9,F7,F6,F9,F8,F9,F8,F9,F9,G10,F9,F9,F5,F10,F9,G5,F7,G7,F8,F5,E8,F9,F7,F8,F6,F9,E13,F9,F7,F7,F9,G7,F10,F7,G8,F9,H10,G6,F8,F7,G9,F7,F9,F9,F8,G5,F8,H16,H13,F9,F7,F5,G8,F8,G5,F5,F9,F9,F9,F8,F5,F12,F6,G8
AXOLOTL,A1,C30,A30,A17,A7,B2,A8,A30,A8,A3,A1,B3,A7,A30,A5,A30,A7,A6,A30,A30,A10,A5,A6,A9,A6,A7,A7,A7,A30,C2,A7,A5,A8,A7,A30,A3,A30,A7,A14,A7,A1,A7,A5,A6,A3,A1,A3,A6,A5,A9,A7,A8,A3,A30,A2,A7,A7,A1,A3,A2,A7,A3,A13,A14,A30,A7,A3,A6,I21,A7,A7,A1,A7,A7,A30,A30,A7,A20,A7,A6,A3,A7,A3,A30,A1,A3,A3,A1,A30,A8,B30,A5,A7,A3,A7,A30,A6,A7,A5,A4
