Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
SALMON,F15,N26,B1,C6,O25,G11,G28,H17,F5,O10,I16,J15,K15,C14,O23,K20,H18,C17,C21,F17,O25,G14,B26,G14,G15,F5,N11,P24,K18,C3,E10,J13,K8,M19,B4,O21,G14,N12,M3,N12,N15,M17,M14,H27,L12,H3,D1,I7,H6,M28,H18,K15,G16,K21,K11,N10,C4,L18,N15,D20,J15,L15,L17,M14,N4,H11,J21,N15,O28,K17,P23,C16,A21,D7,L16,K18,M14,G20,E17,H10,K18,I16,L14,N15,E12,G21,M20,I23,I22,O21,N25,G16,J19,J18,H18,C2,N10,K18,F5,E29
WHALE,K18,C7,H13,O25,P29,P1,G19,J13,O25,G18,C2,M15,O13,F7,K16,J15,G7,D10,O30,N11,C17,L21,E8,E16,K15,M17,M12,I18,C19,J7,O2,G5,P23,M11,I23,M17,K19,D10,A3,C12,E11,B15,F18,H16,P14,L12,P30,G15,N16,L20,A1,M20,J13,J20,L4,O20,B13,O15,D5,O3,F14,K25,H20,J18,C5,O18,P30,H16,O25,O29,K16,C9,F15,M18,O30,I19,K15,J14,O6,K6,G15,D10,L17,F19,N15,E14,C4,A25,H15,O19,I19,O30,N15,I10,K13,N22,O11,I15,H15,G17
GRIZZLY,F11,M15,O18,H15,F7,G18,E12,O9,M29,F14,E21,H12,C13,L22,J10,L12,O10,G15,G15,F6,C15,O2,N4,E28,K15,D6,N6,G16,I15,F5,O28,O13,E30,G2,H26,O10,M15,N6,O30,I15,F20,E12,D27,O20,L15,M18,M1,N18,E17,M6,K17,M19,O30,J18,N10,M18,O30,D25,M17,M22,O26,L13,P1,O19,H21,O27,O16,F15,E5,H15,J15,C5,G2,H16,I19,K15,K10,H14,H15,K8,N11,G6,D21,E14,C3,G10,O28,M15,G15,O18,M18,K5,B12,G4,N3,P30,E1,K17,E10,I21
FLAMINGO,L19,K2,I14,O30,A18,I12,D14,P1,I20,C14,P1,E23,O6,L13,O28,H16,H13,J16,P19,N16,G14,F14,C2,O20,L11,H17,N15,M15,P2,N21,M17,K19,O25,L4,M15,P28,N14,D13,O18,C15,C11,H21,N25,O20,K12,M17,D3,C18,B1,C15,L6,M15,O18,O2,L18,M5,J19,E10,H17,C18,D12,H18,K16,C15,N19,O20,P12,C15,G17,C14,C12,E7,M11,O7,A29,G15,O9,J24,L20,B10,A1,P20,N18,M17,O7,O16,C14,C29,E13,F7,N18,I5,P27,N8,N20,L25,N28,L13,O10,E26
FOX,K6,M16,P30,L3,G15,P29,P15,O9,O21,K17,J15,J16,K18,N20,L23,O26,I16,O23,M18,M25,M8,B23,J10,F25,J1,F10,H10,G6,M20,D4,O27,G15,E12,I12,E24,K22,M19,M14,N23,C8,N20,M14,F26,E18,K15,L12,I11,P19,M18,O14,N16,J17,D20,C19,C8,C15,K20,M6,F19,E5,H14,P26,O24,F23,B3,O18,O3,E16,F3,I14,C11,F18,K15,G18,P12,E18,M19,I15,O11,K7,F10,M14,K20,P29,K3,J17,J24,B15,O24,N8,K20,F26,B15,N8,L15,M6,C5,M20,B15,P13
CRICKET,N11,F19,I14,M22,N12,F12,N23,E3,P15,B28,J14,K16,N2,G9,F24,H16,M12,F11,F15,L17,O22,F19,N13,I6,I12,A28,D5,P11,I15,F15,C14,C4,G15,D2,O2,B3,H16,K13,A1,K11,D10,H19,N13,A3,F10,K27,K16,L15,B13,C11,F11,G7,P12,G15,G11,J15,H16,M15,G11,P20,O21,N8,F20,F19,B15,J17,F28,P1,E4,G10,G2,M15,O24,F9,N2,G16,G15,J17,I15,N27,A5,K15,F15,E12,B1,J15,M12,C20,L19,H15,N28,P17,C18,J17,E25,K18,H16,F14,P29,E5
CANARY,M17,N13,H15,F12,L17,F4,G22,K17,C3,G12,N15,K3,F21,C16,A1,N14,J13,O3,F20,G23,M13,P1,M16,O15,O28,N16,I12,H12,G21,H19,O20,N26,M12,K4,J12,A1,P6,L15,O20,K5,E12,L6,F15,K17,L14,O25,O3,K15,O22,M17,J17,M13,N21,M15,G18,B15,O19,K4,E12,M9,G15,O8,G18,G15,P16,M16,C14,D14,E12,C4,G14,B2,O27,K11,O13,E12,L12,L19,J13,F5,L20,F12,G18,G14,I12,N5,M20,H8,N27,E10,C10,O12,E14,O30,J15,O18,I15,K29,C7,O14
PIG,D1,L19,E5,C10,K13,O21,G6,J18,N19,G7,N18,N14,E27,K13,J9,C7,L20,G9,P2,J16,K15,O27,H24,E14,M17,G22,J17,C14,L15,N15,M10,J16,J16,N19,F28,C1,N22,M17,J16,P30,E20,C14,P23,G15,D7,M28,O15,E16,K7,N21,J15,J15,C22,O18,O30,D20,K15,K11,L16,O22,H20,A1,M17,P15,G5,E12,G13,O9,M14,E12,K20,M17,E6,M15,P23,M10,F15,O28,L11,K6,N4,D6,O20,H6,E25,F3,O17,H1,O2,K16,E11,J14,I11,P20,C7,F3,K15,G25,K13,G14
TIGER,P16,P30,L13,N6,O23,H6,C4,O28,A4,D3,E12,M16,K12,E18,M15,O2,K11,G15,C6,C19,H14,D12,H23,M18,H20,L15,F5,M20,K21,P27,O10,N10,E5,K18,K25,O11,N15,L18,J19,K17,K15,C5,P1,K18,G15,O29,K19,H11,F4,J17,H11,M13,H14,G20,G6,M13,H15,L16,F13,P30,G15,D15,O20,N7,M15,O15,E18,H19,N17,O20,L20,E12,K19,D14,J19,C29,E3,O10,C5,F2,O20,F16,K21,N21,G20,O10,G16,P11,K14,M18,M20,G4,P1,E12,G19,E29,O11,H8,B10,L10
LADYBUG,M15,E12,C5,N14,H13,M17,F15,G11,C16,N19,E12,M20,L11,N15,G10,E10,E12,L16,N5,O30,N2,G14,J10,A19,O22,N13,E21,H17,G29,G18,O26,J7,M11,G21,G15,N2,B12,G15,G15,E12,K16,J15,F14,G14,B2,C2,C10,K12,N27,M14,K14,M6,O26,M12,E18,B11,C13,P1,N23,G16,K10,F7,O28,G20,K10,O30,D8,K15,N29,C11,K3,K18,C11,L8,C9,F4,F6,L15,P1,H15,E13,N6,G17,O11,C12,J15,I14,J15,J11,K16,E7,I19,N29,L18,M26,C12,C2,O29,C16,M14
FROG,L18,E5,J15,O13,N5,C15,O29,O19,E12,K23,E12,M1,J12,D4,L24,G15,O2,H12,O23,J17,K20,J19,N3,N10,N21,K15,E12,F8,J15,M17,E15,K15,P20,O10,P23,M19,M15,J16,A18,C5,J15,E16,K14,M15,P2,C25,A10,E15,B1,M16,O22,P29,C3,O8,E14,E21,O29,P15,H17,C19,G4,F3,K13,L15,P12,J16,K23,N9,O6,H12,E23,N14,F19,N2,D14,O25,K15,J16,M17,F4,F11,H18,M15,H15,H13,E7,G15,F28,M18,C6,E29,K10,N5,F23,K15,O28,G16,N23,F5,J12
AXOLOTL,A1,O20,O10,A1,B14,J14,A2,M17,G7,C16,I11,G6,M16,M11,D11,M17,M10,N17,H14,F19,P1,H6,O16,M9,M16,F16,O29,J8,K18,K3,A1,N15,L11,O12,M7,E4,M12,M13,D17,P24,J6,C17,N16,C25,L20,N12,J17,J18,J17,K18,K22,H15,E26,M21,B7,N11,J15,M17,D17,K4,N17,M17,E18,K20,J15,K7,N20,K8,J27,O13,K11,L17,O10,N11,M14,E10,P22,M17,O29,L24,P29,L18,E20,F14,N14,N29,C2,L20,M15,F13,O17,K29,M8,N30,O27,H15,C8,G3,H20,I20
TOAD,C13,I19,C12,K13,J17,H15,G11,K20,O12,E20,M16,K14,E12,N12,D4,P2,K23,N15,H18,I17,M16,D7,G1,M14,G17,M7,J15,C15,D7,K17,B12,P29,G14,G15,C14,L16,E24,H18,H12,D19,E19,A26,E22,F10,I23,D15,L18,J10,K16,O20,G25,K14,O29,M10,M19,E21,O25,O7,K18,N17,K20,K12,K20,G6,K16,C5,H15,L21,H16,G15,H6,G12,O11,F5,K2,E20,J18,M16,C27,C13,O18,E14,D15,H9,A16,C16,O21,C12,F20,H3,M12,H17,G16,J16,K20,B12,P1,J19,L14,L15
LEMON,M14,N25,O29,O14,F17,E12,F19,J18,N18,H11,P30,O20,H12,E12,G14,G14,H15,A28,C5,O6,N20,D19,M25,C12,G24,F10,F27,N17,J20,M7,E7,A29,G14,G18,G16,E10,N10,J16,D5,E22,G6,F10,O8,A1,E30,O11,E25,G12,M16,M12,N19,O13,M9,L10,P28,H16,O24,F18,F21,D10,J13,M10,A4,G10,E9,G13,G11,O28,N8,H13,A1,O10,G17,J19,M12,P29,N25,E23,P30,A1,O26,B17,L14,P16,L15,O15,A1,E13,P29,I21,K11,C15,B1,I18,O11,G12,H15,B2,H17,M25
LIME,O26,N18,M14,K2,C29,A30,F6,H17,P29,G2,E5,G15,G19,I21,K17,J12,H15,J10,K19,G10,P17,H19,A15,N6,C11,K19,G9,N11,N27,J17,G20,N12,E25,H20,M16,N18,H10,H15,M7,E26,C5,H16,M10,F15,M19,N21,N23,D27,B20,O14,M12,E29,A29,K20,A1,K18,J10,O29,M20,K15,K13,K15,A1,G6,B5,H5,M19,K12,H14,O21,M21,O21,M21,N16,E22,G29,J11,E12,M14,L17,N16,L18,C14,H25,L19,F24,K7,F17,N7,P10,N28,O5,E27,G16,O29,L14,G16,P30,A2,I15
KIWI,K18,D15,J15,L16,F19,F19,H18,C4,O27,O3,H14,O28,A1,G12,A1,H12,C17,N17,M17,G15,O13,O27,O29,F15,E12,C16,F19,I16,P29,K21,M26,I16,C16,C6,N1,C1,M13,J12,G19,M18,O10,I10,G14,J19,P30,K7,J18,N18,K15,E24,L16,H7,K20,O24,N5,E13,P1,O29,J19,H14,G11,L3,M12,N17,K16,E12,K13,K14,J18,F9,L14,K25,F13,C14,E14,C5,G17,M3,I20,L16,N21,G19,P28,K2,C22,L10,G18,O30,G27,C3,N20,H12,C12,H10,C26,P1,A15,O14,F20,O11
PUMPKIN,O12,H17,O22,P14,G18,C5,L15,N23,B4,N3,F19,O25,K18,O18,E10,K8,C4,B7,J10,F22,P22,H15,O23,N28,J13,O15,F13,J15,G21,H18,M9,P19,L17,C19,K17,M13,H10,M19,I14,G9,C11,O13,E15,G18,H18,I20,O25,N20,P1,P30,L21,C10,N28,P29,A1,L13,F2,B1,J17,K22,G16,B14,O15,H7,G9,M27,H2,H6,C12,M10,A1,H13,I16,P29,D10,I15,M12,K10,O1,O21,O20,N2,J3,I11,F8,P30,N9,J12,O13,K16,O10,D4,E29,K17,N15,K19,F15,B10,O19,P29
ZUCCHINI,G16,P29,C1,O14,O11,P1,O13,M15,D26,C22,E10,J15,L13,N15,G22,K14,K27,P30,H17,M16,A1,O15,K12,O11,M17,P28,L21,K15,I16,M16,C17,E7,O20,G15,G13,M11,M15,C5,L15,P20,B11,F7,N16,M4,N11,M30,O18,I11,J12,B18,L16,N20,K6,E13,C11,N15,O7,N17,O22,J14,F6,E17,E25,G14,G16,E2,C14,C10,C1,L18,F2,L3,N16,M29,D11,O28,C18,N23,H13,G14,L16,B21,G19,C27,O28,L14,L10,K20,J15,O25,K2,C12,L15,N13,P1,F10,N2,O20,L17,L10
GRAPE,K15,N16,N26,B12,G17,P29,G11,K14,M12,J13,K13,J11,F14,M22,G10,M12,O29,A1,A10,M18,G16,O29,H13,E2,P2,M15,N21,K20,L15,G15,N20,P29,K19,D20,H12,M13,N6,M17,L21,K24,M22,O28,J2,F15,J2,N7,G9,L10,F11,C21,E11,H8,B3,P19,J12,F3,N19,E16,D30,M12,J10,G12,L9,O30,J13,E28,D7,N19,K22,L20,N6,E22,K20,O29,P1,E4,E9,K17,N13,G10,E12,E16,K15,P28,D2,O19,K5,O17,O22,O30,P30,P29,M12,M10,J20,L20,F16,M22,N19,E14
CUCUMBER,I6,C13,B15,H14,G18,G16,E7,H15,F13,N30,L15,F9,G6,F19,D14,O13,M20,K16,A15,G17,H11,M16,K16,O23,O14,D10,B1,A30,K13,M23,J16,N11,P1,G15,G11,F10,E25,M22,G10,F10,O20,C3,K19,C22,H10,J7,F16,P29,P29,B3,N8,M17,G15,G17,K4,K9,N1,N10,M19,K24,K19,K17,C21,H13,O17,O15,G13,C7,E16,M20,C19,F14,J17,C4,K11,N15,M6,G9,O23,B1,E15,O25,L5,N13,D15,G10,N20,D19,L16,K19,O22,L21,O24,L10,N21,E22,P1,N17,M4,H10
COCONUT,P30,F12,K22,G16,N22,M18,K15,J10,E12,G18,G15,K18,G21,K5,C18,J18,F11,H18,G20,K5,M18,F16,O24,N20,L28,O30,C28,F10,K25,N12,K7,C26,D28,G17,M7,C4,N6,P4,F29,J9,F18,O25,K8,O28,O16,C15,B15,F11,O15,F11,G20,N8,N12,I5,F3,N19,F17,E26,J18,A8,O18,P29,O10,E10,C15,G12,H22,B16,N16,C2,K19,L12,G13,O11,H15,F24,D4,E18,K12,A30,N12,E12,H21,J14,G18,L12,P30,N22,G13,N16,G14,O18,G20,H16,N15,K15,K22,O19,O26,G15
